Task,Start,Finish,Cores,RequestId
58.5,2022-07-19 17:08:55.388360,2022-07-19 17:09:15.388360,2,
-1,2022-07-19 17:09:26.617269,2022-07-19 17:09:26.617525,6,73
60,2022-07-19 17:09:30.855934,2022-07-19 17:10:04.968506,6,60
61,2022-07-19 17:09:33.655328,2022-07-19 17:10:15.128149,4,61
-1,2022-07-19 17:09:41.413318,2022-07-19 17:09:41.413642,6,74
-1,2022-07-19 17:09:56.733233,2022-07-19 17:09:56.733471,6,75
59.5,2022-07-19 17:09:05.807949,2022-07-19 17:09:34.807949,1,
59.5,2022-07-19 17:09:34.807949,2022-07-19 17:09:54.807949,2,
60.5,2022-07-19 17:09:09.193533,2022-07-19 17:09:40.193533,1,
60.5,2022-07-19 17:09:40.193533,2022-07-19 17:10:01.193533,2,
61,2022-07-19 17:10:15.128156,2022-07-19 17:10:36.812341,6,61
-1,2022-07-19 17:10:16.633388,2022-07-19 17:10:16.633827,6,76
62,2022-07-19 17:10:17.839783,2022-07-19 17:11:09.346519,6,62
63,2022-07-19 17:10:21.262113,2022-07-19 17:10:47.019865,4,63
61.5,2022-07-19 17:09:33.655328,2022-07-19 17:10:12.655328,1,
61.5,2022-07-19 17:10:12.655328,2022-07-19 17:10:32.655328,2,
-1,2022-07-19 17:10:42.493258,2022-07-19 17:10:42.493505,6,77
63,2022-07-19 17:10:47.019872,2022-07-19 17:11:17.829287,6,63
64,2022-07-19 17:10:49.864192,2022-07-19 17:11:27.971483,4,64
-1,2022-07-19 17:11:02.984878,2022-07-19 17:11:02.985220,6,78
62.5,2022-07-19 17:10:17.839783,2022-07-19 17:10:45.839783,1,
62.5,2022-07-19 17:10:45.839783,2022-07-19 17:11:05.839783,2,
63.5,2022-07-19 17:10:21.262113,2022-07-19 17:10:54.262113,1,
63.5,2022-07-19 17:10:54.262113,2022-07-19 17:11:14.262113,2,
64,2022-07-19 17:11:27.971490,2022-07-19 17:11:50.946456,6,64
-1,2022-07-19 17:11:28.121376,2022-07-19 17:11:28.121712,6,79
65,2022-07-19 17:11:30.584235,2022-07-19 17:12:23.211749,6,65
66,2022-07-19 17:11:33.951898,2022-07-19 17:12:01.099664,4,66
-1,2022-07-19 17:11:38.324267,2022-07-19 17:11:38.324586,6,80
64.5,2022-07-19 17:10:49.864192,2022-07-19 17:11:26.864192,1,
64.5,2022-07-19 17:11:26.864192,2022-07-19 17:11:46.864192,2,
-1,2022-07-19 17:11:53.276351,2022-07-19 17:11:53.276638,6,81
66,2022-07-19 17:12:01.099673,2022-07-19 17:12:32.082680,6,66
67,2022-07-19 17:12:03.947842,2022-07-19 17:12:42.220200,4,67
-1,2022-07-19 17:12:10.469269,2022-07-19 17:12:10.469585,6,82
65.5,2022-07-19 17:11:30.584235,2022-07-19 17:11:58.584235,1,
65.5,2022-07-19 17:11:58.584235,2022-07-19 17:12:19.584235,2,
-1,2022-07-19 17:12:27.133236,2022-07-19 17:12:27.133482,6,83
66.5,2022-07-19 17:11:33.951898,2022-07-19 17:12:07.951898,1,
66.5,2022-07-19 17:12:07.951898,2022-07-19 17:12:27.951898,2,
67,2022-07-19 17:12:42.220206,2022-07-19 17:13:04.553507,6,67
68,2022-07-19 17:12:44.869708,2022-07-19 17:13:37.554075,6,68
-1,2022-07-19 17:12:45.331504,2022-07-19 17:12:45.331857,6,84
53,2022-07-19 17:12:48.274048,2022-07-19 17:13:14.760494,4,53
67.5,2022-07-19 17:12:03.947842,2022-07-19 17:12:40.947842,1,
67.5,2022-07-19 17:12:40.947842,2022-07-19 17:13:00.947842,2,
-1,2022-07-19 17:13:12.790886,2022-07-19 17:13:12.791167,6,85
53,2022-07-19 17:13:14.760500,2022-07-19 17:13:47.242027,6,53
69,2022-07-19 17:13:17.555911,2022-07-19 17:13:57.400211,4,69
