Task,Start,Finish,Cores,RequestId
-1,2022-03-29 01:47:32.266100,2022-03-29 01:47:32.266269,8,113
-1,2022-03-29 01:48:01.203072,2022-03-29 01:48:01.203218,8,114
-3,2022-03-29 01:48:29.019477,2022-03-29 01:48:30.020667,32,32
37,2022-03-29 01:48:32.868468,2022-03-29 02:00:37.645177,2,37
38,2022-03-29 01:48:35.962012,2022-03-29 02:00:37.645343,2,38
39,2022-03-29 01:48:39.099616,2022-03-29 01:51:39.411558,2,39
40,2022-03-29 01:48:42.509433,2022-03-29 02:01:25.470381,2,40
-1,2022-03-29 01:48:46.361840,2022-03-29 01:48:46.362003,8,115
-1,2022-03-29 01:49:31.029778,2022-03-29 01:49:31.029903,8,116
-1,2022-03-29 01:50:12.169781,2022-03-29 01:50:12.169914,8,117
-1,2022-03-29 01:50:50.629793,2022-03-29 01:50:50.629926,8,118
-1,2022-03-29 01:51:27.665056,2022-03-29 01:51:27.665191,8,119
-1,2022-03-29 01:52:06.968146,2022-03-29 01:52:06.968304,8,120
-3,2022-03-29 01:52:20.969796,2022-03-29 01:52:21.970987,39,39
41,2022-03-29 01:52:24.926200,2022-03-29 02:01:25.470558,2,41
-1,2022-03-29 01:52:47.229873,2022-03-29 01:52:47.230038,8,121
-1,2022-03-29 01:53:32.865017,2022-03-29 01:53:32.865141,8,122
-1,2022-03-29 01:54:21.865770,2022-03-29 01:54:21.865894,8,123
-1,2022-03-29 01:54:57.953774,2022-03-29 01:54:57.953900,8,124
-1,2022-03-29 01:55:38.054159,2022-03-29 01:55:38.054286,8,125
-1,2022-03-29 01:56:21.861811,2022-03-29 01:56:21.861939,8,126
-1,2022-03-29 01:56:52.797785,2022-03-29 01:56:52.797916,8,127
33.5,2022-03-29 01:44:54.545089,2022-03-29 01:47:22.545089,1,
33.5,2022-03-29 01:47:22.545089,2022-03-29 01:49:56.545089,2,
33.5,2022-03-29 01:49:56.545089,2022-03-29 01:52:32.545089,1,
33.5,2022-03-29 01:52:32.545089,2022-03-29 01:55:07.545089,2,
33.5,2022-03-29 01:55:07.545089,2022-03-29 01:57:42.545089,1,
34,2022-03-29 01:57:55.903291,2022-03-29 01:59:31.843833,4,34
34.5,2022-03-29 01:57:55.903291,2022-03-29 02:00:34.903291,1,
34.5,2022-03-29 02:00:34.903291,2022-03-29 02:03:09.903291,2,
34.5,2022-03-29 02:03:09.903291,2022-03-29 02:05:44.903291,1,
34.5,2022-03-29 02:05:44.903291,2022-03-29 02:08:19.903291,2,
34.5,2022-03-29 02:08:19.903291,2022-03-29 02:09:56.903291,1,
35,2022-03-29 01:59:41.858088,2022-03-29 02:00:09.253145,6,35
35.5,2022-03-29 01:59:41.858088,2022-03-29 02:02:16.858088,1,
